"","species","chemical","light","height","log.height"
"324","M.maximus","none","shade",7.2,2.10413415427021
"325","X.texanum","crude","open",0,0
"326","C.fasciculata","crude","open",5.1,1.80828877117927
"327","S.scheelei","crude","open",6.4,2.00148000021012
"328","M.maximus","crude","open",7.4,2.12823170584927
"329","X.texanum","standard","open",4,1.6094379124341
"330","C.fasciculata","standard","open",18.4,2.96527306606928
"331","S.scheelei","standard","open",9.5,2.35137525716348
"332","M.maximus","standard","open",36.1,3.61361696961339
"333","X.texanum","none","open",0.5,0.405465108108164
"334","C.fasciculata","none","open",6,1.94591014905531
"335","S.scheelei","none","open",2.6,1.28093384546206
"336","M.maximus","none","open",35.1,3.58629286533884
"337","X.texanum","crude","shade",0,0
"339","S.scheelei","crude","shade",3.2,1.43508452528932
"340","M.maximus","crude","shade",8,2.19722457733622
"342","C.fasciculata","standard","shade",8.6,2.26176309847379
"343","S.scheelei","standard","shade",5.8,1.91692261218206
"344","M.maximus","standard","shade",7.2,2.10413415427021
"345","X.texanum","none","shade",0.7,0.53062825106217
"346","C.fasciculata","none","shade",11.5,2.52572864430826
"347","S.scheelei","none","shade",3.2,1.43508452528932
"348","M.maximus","none","shade",7.9,2.18605127673809
"349","X.texanum","crude","open",0,0
"350","C.fasciculata","crude","open",10.4,2.43361335540045
"351","S.scheelei","crude","open",7.9,2.18605127673809
"352","M.maximus","crude","open",27.6,3.35340671782581
"353","X.texanum","standard","open",0.6,0.470003629245736
"354","C.fasciculata","standard","open",11,2.484906649788
"355","S.scheelei","standard","open",9.9,2.3887627892351
"356","M.maximus","standard","open",34.1,3.55820113047182
"357","X.texanum","none","open",0.3,0.262364264467491
"358","C.fasciculata","none","open",5.1,1.80828877117927
"359","S.scheelei","none","open",1.4,0.8754687373539
"360","M.maximus","none","open",34.3,3.56388296393925
"363","S.scheelei","crude","shade",5.1,1.80828877117927
"364","M.maximus","crude","shade",5.5,1.87180217690159
"366","C.fasciculata","standard","shade",8.1,2.2082744135228
"367","S.scheelei","standard","shade",6.8,2.05412373369555
"368","M.maximus","standard","shade",7.2,2.10413415427021
"370","C.fasciculata","none","shade",5.4,1.85629799036563
"371","S.scheelei","none","shade",2.7,1.30833281965018
"372","M.maximus","none","shade",21.6,3.11794990627824
"374","C.fasciculata","crude","open",8,2.19722457733622
"375","S.scheelei","crude","open",9.5,2.35137525716348
"376","M.maximus","crude","open",26.2,3.30321697330195
"377","X.texanum","standard","open",1,0.693147180559945
"378","C.fasciculata","standard","open",13.1,2.64617479738412
"379","S.scheelei","standard","open",8.7,2.27212588550934
"380","M.maximus","standard","open",16.6,2.86789890204411
"381","X.texanum","none","open",0.3,0.262364264467491
"382","C.fasciculata","none","open",9.1,2.31253542384721
"383","S.scheelei","none","open",4.9,1.77495235091167
"384","M.maximus","none","open",34.2,3.56104608260405
"387","S.scheelei","crude","shade",4.8,1.75785791755237
"388","M.maximus","crude","shade",5.5,1.87180217690159
"390","C.fasciculata","standard","shade",8.6,2.26176309847379
"391","S.scheelei","standard","shade",7.5,2.14006616349627
"392","M.maximus","standard","shade",10.4,2.43361335540045
"394","C.fasciculata","none","shade",10.9,2.47653840011748
"395","S.scheelei","none","shade",3.8,1.56861591791385
"396","M.maximus","none","shade",13,2.63905732961526
"398","C.fasciculata","crude","open",9,2.30258509299405
"399","S.scheelei","crude","open",7,2.07944154167984
"400","M.maximus","crude","open",19.7,3.03013370027132
"401","X.texanum","standard","open",0.6,0.470003629245736
"402","C.fasciculata","standard","open",15.1,2.77881927199042
"403","S.scheelei","standard","open",6.1,1.96009478404727
"404","M.maximus","standard","open",35.6,3.60004824040732
"405","X.texanum","none","open",0.4,0.336472236621213
"406","C.fasciculata","none","open",8.8,2.28238238567653
"407","S.scheelei","none","open",7.1,2.09186406167839
"408","M.maximus","none","open",32.2,3.50254987592244
"411","S.scheelei","crude","shade",2.9,1.3609765531356
"414","C.fasciculata","standard","shade",7.2,2.10413415427021
"415","S.scheelei","standard","shade",6,1.94591014905531
"416","M.maximus","standard","shade",8.1,2.2082744135228
"418","C.fasciculata","none","shade",3.9,1.58923520511658
"419","S.scheelei","none","shade",2.2,1.16315080980568
"420","M.maximus","none","shade",4.6,1.7227665977411
"422","C.fasciculata","crude","open",13.1,2.64617479738412
"423","S.scheelei","crude","open",9.1,2.31253542384721
"424","M.maximus","crude","open",20.2,3.05400118167797
"425","X.texanum","standard","open",0.9,0.641853886172395
"426","C.fasciculata","standard","open",13.2,2.65324196460721
"427","S.scheelei","standard","open",9.3,2.33214389523559
"428","M.maximus","standard","open",26.4,3.31054301339402
"429","X.texanum","none","open",0.5,0.405465108108164
"430","C.fasciculata","none","open",13.5,2.67414864942653
"431","S.scheelei","none","open",6.6,2.02814824729229
"432","M.maximus","none","open",37.6,3.65325227647079
"435","S.scheelei","crude","shade",3.8,1.56861591791385
"438","C.fasciculata","standard","shade",9.5,2.35137525716348
"439","S.scheelei","standard","shade",6.1,1.96009478404727
"440","M.maximus","standard","shade",7,2.07944154167984
"442","C.fasciculata","none","shade",6.3,1.98787434815435
"443","S.scheelei","none","shade",5.6,1.88706964903238
"444","M.maximus","none","shade",7.9,2.18605127673809
"446","C.fasciculata","crude","open",11.2,2.50143595173921
"447","S.scheelei","crude","open",8.2,2.21920348405499
"448","M.maximus","crude","open",20.2,3.05400118167797
"449","X.texanum","standard","open",0.7,0.53062825106217
"450","C.fasciculata","standard","open",16.9,2.88480071284671
"451","S.scheelei","standard","open",7.8,2.17475172148416
"452","M.maximus","standard","open",30.6,3.45315712059287
"453","X.texanum","none","open",0.4,0.336472236621213
"454","C.fasciculata","none","open",15.7,2.81540871942271
"455","S.scheelei","none","open",5.8,1.91692261218206
"456","M.maximus","none","open",39.2,3.69386699562498
"459","S.scheelei","crude","shade",3,1.38629436111989
"462","C.fasciculata","standard","shade",8.5,2.2512917986065
"463","S.scheelei","standard","shade",6.6,2.02814824729229
"464","M.maximus","standard","shade",7.1,2.09186406167839
"466","C.fasciculata","none","shade",7.7,2.16332302566054
"467","S.scheelei","none","shade",4.3,1.66770682055808
"468","M.maximus","none","shade",11.7,2.54160199346455
"470","C.fasciculata","crude","open",11,2.484906649788
"471","S.scheelei","crude","open",9.6,2.36085400111802
"472","M.maximus","crude","open",21.1,3.09557760852371
"473","X.texanum","standard","open",0.5,0.405465108108164
"474","C.fasciculata","standard","open",15.7,2.81540871942271
"475","S.scheelei","standard","open",6.9,2.06686275947298
"476","M.maximus","standard","open",33.1,3.52929738428947
"477","X.texanum","none","open",0.5,0.405465108108164
"478","C.fasciculata","none","open",10.3,2.42480272571829
"479","S.scheelei","none","open",7.4,2.12823170584927
"480","M.maximus","none","open",30.5,3.44998754583159
"483","S.scheelei","crude","shade",3.1,1.41098697371026
"486","C.fasciculata","standard","shade",7.5,2.14006616349627
"487","S.scheelei","standard","shade",7.6,2.15176220325946
"488","M.maximus","standard","shade",5,1.79175946922805
"490","C.fasciculata","none","shade",11.3,2.50959926237837
"491","S.scheelei","none","shade",4.1,1.62924053973028
"492","M.maximus","none","shade",7.9,2.18605127673809
"494","C.fasciculata","crude","open",8.8,2.28238238567653
"495","S.scheelei","crude","open",4.5,1.70474809223843
"496","M.maximus","crude","open",25.2,3.26575941076705
"497","X.texanum","standard","open",0.6,0.470003629245736
"498","C.fasciculata","standard","open",18.9,2.99071973173045
"499","S.scheelei","standard","open",9.3,2.33214389523559
"500","M.maximus","standard","open",36.5,3.62434093297637
"501","X.texanum","none","open",0.4,0.336472236621213
"502","C.fasciculata","none","open",7.4,2.12823170584927
"503","S.scheelei","none","open",5.5,1.87180217690159
"504","M.maximus","none","open",35.5,3.59731226058845
"507","S.scheelei","crude","shade",5.1,1.80828877117927
"510","C.fasciculata","standard","shade",6.4,2.00148000021012
"511","S.scheelei","standard","shade",8.4,2.24070968927596
"512","M.maximus","standard","shade",8.5,2.2512917986065
"514","C.fasciculata","none","shade",8.2,2.21920348405499
"515","S.scheelei","none","shade",8.5,2.2512917986065
"516","M.maximus","none","shade",12.2,2.58021682959233
"518","C.fasciculata","crude","open",6.5,2.01490302054226
"519","S.scheelei","crude","open",10.2,2.41591377830105
"520","M.maximus","crude","open",25.1,3.26193531432865
"521","X.texanum","standard","open",2,1.09861228866811
"522","C.fasciculata","standard","open",14.8,2.76000994003292
"523","S.scheelei","standard","open",6,1.94591014905531
"524","M.maximus","standard","open",34.4,3.56671182013973
"525","X.texanum","none","open",0.6,0.470003629245736
"526","C.fasciculata","none","open",16.4,2.85647020622048
"527","S.scheelei","none","open",7.7,2.16332302566054
"528","M.maximus","none","open",34,3.55534806148941
"531","S.scheelei","crude","shade",3.9,1.58923520511658
"534","C.fasciculata","standard","shade",11.5,2.52572864430826
"535","S.scheelei","standard","shade",5.3,1.84054963339749
"536","M.maximus","standard","shade",6.1,1.96009478404727
"538","C.fasciculata","none","shade",9.9,2.3887627892351
"539","S.scheelei","none","shade",4.5,1.70474809223843
"540","M.maximus","none","shade",7,2.07944154167984
"542","C.fasciculata","crude","open",4.9,1.77495235091167
"543","S.scheelei","crude","open",8,2.19722457733622
"544","M.maximus","crude","open",24.6,3.24259235148552
"545","X.texanum","standard","open",1.5,0.916290731874155
"546","C.fasciculata","standard","open",10.2,2.41591377830105
"547","S.scheelei","standard","open",8.9,2.29253475714054
"548","M.maximus","standard","open",29.3,3.41114771251532
"549","X.texanum","none","open",1.2,0.78845736036427
"550","C.fasciculata","none","open",14.4,2.73436750941958
"551","S.scheelei","none","open",6.3,1.98787434815435
"552","M.maximus","none","open",30.1,3.43720781918519
"555","S.scheelei","crude","shade",2.9,1.3609765531356
"558","C.fasciculata","standard","shade",8,2.19722457733622
"559","S.scheelei","standard","shade",6,1.94591014905531
"560","M.maximus","standard","shade",6.8,2.05412373369555
"562","C.fasciculata","none","shade",7.3,2.11625551480255
"563","S.scheelei","none","shade",3.7,1.54756250871601
"564","M.maximus","none","shade",6.7,2.04122032885964
"566","C.fasciculata","crude","open",3.5,1.50407739677627
"567","S.scheelei","crude","open",7.5,2.14006616349627
"568","M.maximus","crude","open",19.4,3.01553490085017
"569","X.texanum","standard","open",2.6,1.28093384546206
"570","C.fasciculata","standard","open",17,2.89037175789616
"571","S.scheelei","standard","open",9.1,2.31253542384721
"572","M.maximus","standard","open",37.5,3.65065824129374
"573","X.texanum","none","open",0.5,0.405465108108164
"574","C.fasciculata","none","open",2.8,1.33500106673234
"575","S.scheelei","none","open",5.4,1.85629799036563
"576","M.maximus","none","open",32.5,3.51154543883102
"579","S.scheelei","crude","shade",4.9,1.77495235091167
"582","C.fasciculata","standard","shade",8,2.19722457733622
"583","S.scheelei","standard","shade",4.9,1.77495235091167
"584","M.maximus","standard","shade",5,1.79175946922805
"586","C.fasciculata","none","shade",7.7,2.16332302566054
"587","S.scheelei","none","shade",4.8,1.75785791755237
"588","M.maximus","none","shade",6.9,2.06686275947298
"590","C.fasciculata","crude","open",2.8,1.33500106673234
"591","S.scheelei","crude","open",8.9,2.29253475714054
"592","M.maximus","crude","open",22.1,3.13983261752775
"593","X.texanum","standard","open",1.4,0.8754687373539
"594","C.fasciculata","standard","open",17.7,2.92852352386054
"595","S.scheelei","standard","open",8.2,2.21920348405499
"596","M.maximus","standard","open",36.8,3.63230910262554
"597","X.texanum","none","open",0.7,0.53062825106217
"598","C.fasciculata","none","open",7.3,2.11625551480255
"599","S.scheelei","none","open",3.1,1.41098697371026
"600","M.maximus","none","open",33.9,3.55248682920838
"603","S.scheelei","crude","shade",4.8,1.75785791755237
"606","C.fasciculata","standard","shade",4.7,1.7404661748405
"607","S.scheelei","standard","shade",7.1,2.09186406167839
"608","M.maximus","standard","shade",6.4,2.00148000021012
"610","C.fasciculata","none","shade",6.1,1.96009478404727
"611","S.scheelei","none","shade",4.3,1.66770682055808
"612","M.maximus","none","shade",6.1,1.96009478404727
"614","C.fasciculata","crude","open",7.9,2.18605127673809
