entry ,species,chemical,light,week,result
365,X.texanum,standard,shade,3,1
366,C.fasciculata,standard,shade,3,1
367,S.scheelei,standard,shade,3,1
368,M.maximus,standard,shade,3,1
369,X.texanum,none,shade,3,1
370,C.fasciculata,none,shade,3,1
371,S.scheelei,none,shade,3,1
372,M.maximus,none,shade,3,1
373,X.texanum,crude,open,3,0
374,C.fasciculata,crude,open,3,1
375,S.scheelei,crude,open,3,1
376,M.maximus,crude,open,3,1
377,X.texanum,standard,open,3,1
378,C.fasciculata,standard,open,3,1
379,S.scheelei,standard,open,3,1
380,M.maximus,standard,open,3,1
381,X.texanum,none,open,3,1
382,C.fasciculata,none,open,3,1
383,S.scheelei,none,open,3,1
384,M.maximus,none,open,3,1
385,X.texanum,crude,shade,4,0
386,C.fasciculata,crude,shade,4,1
387,S.scheelei,crude,shade,4,1
388,M.maximus,crude,shade,4,1
389,X.texanum,standard,shade,4,1
390,C.fasciculata,standard,shade,4,1
391,S.scheelei,standard,shade,4,1
392,M.maximus,standard,shade,4,1
393,X.texanum,none,shade,4,1
394,C.fasciculata,none,shade,4,1
395,S.scheelei,none,shade,4,1
396,M.maximus,none,shade,4,1
397,X.texanum,crude,open,4,0
398,C.fasciculata,crude,open,4,1
399,S.scheelei,crude,open,4,1
400,M.maximus,crude,open,4,1
401,X.texanum,standard,open,4,1
402,C.fasciculata,standard,open,4,1
403,S.scheelei,standard,open,4,1
404,M.maximus,standard,open,4,1
405,X.texanum,none,open,4,1
406,C.fasciculata,none,open,4,1
407,S.scheelei,none,open,4,1
408,M.maximus,none,open,4,1
409,X.texanum,crude,shade,5,0
410,C.fasciculata,crude,shade,5,1
411,S.scheelei,crude,shade,5,1
412,M.maximus,crude,shade,5,1
413,X.texanum,standard,shade,5,1
414,C.fasciculata,standard,shade,5,1
415,S.scheelei,standard,shade,5,1
416,M.maximus,standard,shade,5,1
417,X.texanum,none,shade,5,1
418,C.fasciculata,none,shade,5,1
419,S.scheelei,none,shade,5,1
420,M.maximus,none,shade,5,1
421,X.texanum,crude,open,5,0
422,C.fasciculata,crude,open,5,1
423,S.scheelei,crude,open,5,1
424,M.maximus,crude,open,5,1
425,X.texanum,standard,open,5,1
426,C.fasciculata,standard,open,5,1
427,S.scheelei,standard,open,5,1
428,M.maximus,standard,open,5,1
429,X.texanum,none,open,5,1
430,C.fasciculata,none,open,5,1
431,S.scheelei,none,open,5,1
432,M.maximus,none,open,5,1
433,X.texanum,none,shade,0,0
434,C.fasciculata,none,shade,0,0
435,S.scheelei,none,shade,0,0
436,M.maximus,none,shade,0,0
437,X.texanum,crude,shade,0,0
438,C.fasciculata,crude,shade,0,0
439,S.scheelei,crude,shade,0,0
440,M.maximus,crude,shade,0,0
441,X.texanum,standard,shade,0,0
442,C.fasciculata,standard,shade,0,0
443,S.scheelei,standard,shade,0,0
444,M.maximus,standard,shade,0,0
445,X.texanum,none,open,0,0
446,C.fasciculata,none,open,0,0
447,S.scheelei,none,open,0,0
448,M.maximus,none,open,0,0
449,X.texanum,crude,open,0,0
450,C.fasciculata,crude,open,0,0
451,S.scheelei,crude,open,0,0
452,M.maximus,crude,open,0,0
453,X.texanum,standard,open,0,0
454,C.fasciculata,standard,open,0,0
455,S.scheelei,standard,open,0,0
456,M.maximus,standard,open,0,0
457,X.texanum,none,shade,1,0
458,C.fasciculata,none,shade,1,1
459,S.scheelei,none,shade,1,0
460,M.maximus,none,shade,1,1
461,X.texanum,crude,shade,1,0
462,C.fasciculata,crude,shade,1,0
463,S.scheelei,crude,shade,1,0
464,M.maximus,crude,shade,1,0
465,X.texanum,standard,shade,1,0
466,C.fasciculata,standard,shade,1,1
467,S.scheelei,standard,shade,1,0
468,M.maximus,standard,shade,1,0
469,X.texanum,none,open,1,0
470,C.fasciculata,none,open,1,1
471,S.scheelei,none,open,1,0
472,M.maximus,none,open,1,1
473,X.texanum,crude,open,1,0
474,C.fasciculata,crude,open,1,0
475,S.scheelei,crude,open,1,1
476,M.maximus,crude,open,1,0
477,X.texanum,standard,open,1,0
478,C.fasciculata,standard,open,1,1
479,S.scheelei,standard,open,1,1
480,M.maximus,standard,open,1,1
481,X.texanum,crude,shade,2,0
482,C.fasciculata,crude,shade,2,1
483,S.scheelei,crude,shade,2,1
484,M.maximus,crude,shade,2,1
485,X.texanum,standard,shade,2,1
486,C.fasciculata,standard,shade,2,1
487,S.scheelei,standard,shade,2,1
488,M.maximus,standard,shade,2,1
489,X.texanum,none,shade,2,1
490,C.fasciculata,none,shade,2,1
491,S.scheelei,none,shade,2,1
492,M.maximus,none,shade,2,1
493,X.texanum,crude,open,2,0
494,C.fasciculata,crude,open,2,1
495,S.scheelei,crude,open,2,1
496,M.maximus,crude,open,2,0
497,X.texanum,standard,open,2,1
498,C.fasciculata,standard,open,2,1
499,S.scheelei,standard,open,2,1
500,M.maximus,standard,open,2,1
501,X.texanum,none,open,2,1
502,C.fasciculata,none,open,2,1
503,S.scheelei,none,open,2,1
504,M.maximus,none,open,2,1
505,X.texanum,crude,shade,3,0
506,C.fasciculata,crude,shade,3,1
507,S.scheelei,crude,shade,3,1
508,M.maximus,crude,shade,3,1
509,X.texanum,standard,shade,3,1
510,C.fasciculata,standard,shade,3,1
511,S.scheelei,standard,shade,3,1
512,M.maximus,standard,shade,3,1
513,X.texanum,none,shade,3,1
514,C.fasciculata,none,shade,3,1
515,S.scheelei,none,shade,3,1
516,M.maximus,none,shade,3,1
517,X.texanum,crude,open,3,0
518,C.fasciculata,crude,open,3,1
519,S.scheelei,crude,open,3,1
520,M.maximus,crude,open,3,1
521,X.texanum,standard,open,3,1
522,C.fasciculata,standard,open,3,1
523,S.scheelei,standard,open,3,1
524,M.maximus,standard,open,3,1
525,X.texanum,none,open,3,1
526,C.fasciculata,none,open,3,1
527,S.scheelei,none,open,3,1
528,M.maximus,none,open,3,1
529,X.texanum,crude,shade,4,0
530,C.fasciculata,crude,shade,4,1
531,S.scheelei,crude,shade,4,1
532,M.maximus,crude,shade,4,1
533,X.texanum,standard,shade,4,1
534,C.fasciculata,standard,shade,4,1
535,S.scheelei,standard,shade,4,1
536,M.maximus,standard,shade,4,1
537,X.texanum,none,shade,4,1
538,C.fasciculata,none,shade,4,1
539,S.scheelei,none,shade,4,1
540,M.maximus,none,shade,4,1
541,X.texanum,crude,open,4,0
542,C.fasciculata,crude,open,4,1
543,S.scheelei,crude,open,4,1
544,M.maximus,crude,open,4,1
545,X.texanum,standard,open,4,1
546,C.fasciculata,standard,open,4,1
547,S.scheelei,standard,open,4,1
548,M.maximus,standard,open,4,1
549,X.texanum,none,open,4,1
550,C.fasciculata,none,open,4,1
551,S.scheelei,none,open,4,1
552,M.maximus,none,open,4,1
553,X.texanum,crude,shade,5,0
554,C.fasciculata,crude,shade,5,1
555,S.scheelei,crude,shade,5,1
556,M.maximus,crude,shade,5,1
557,X.texanum,standard,shade,5,1
558,C.fasciculata,standard,shade,5,1
559,S.scheelei,standard,shade,5,1
560,M.maximus,standard,shade,5,1
561,X.texanum,none,shade,5,1
562,C.fasciculata,none,shade,5,1
563,S.scheelei,none,shade,5,1
564,M.maximus,none,shade,5,1
565,X.texanum,crude,open,5,0
566,C.fasciculata,crude,open,5,1
567,S.scheelei,crude,open,5,1
568,M.maximus,crude,open,5,1
569,X.texanum,standard,open,5,1
570,C.fasciculata,standard,open,5,1
571,S.scheelei,standard,open,5,1
572,M.maximus,standard,open,5,1
573,X.texanum,none,open,5,1
574,C.fasciculata,none,open,5,1
575,S.scheelei,none,open,5,1
576,M.maximus,none,open,5,1
577,X.texanum,none,shade,0,0
578,C.fasciculata,none,shade,0,0
579,S.scheelei,none,shade,0,0
580,M.maximus,none,shade,0,0
581,X.texanum,crude,shade,0,0
582,C.fasciculata,crude,shade,0,0
583,S.scheelei,crude,shade,0,0
584,M.maximus,crude,shade,0,0
585,X.texanum,standard,shade,0,0
586,C.fasciculata,standard,shade,0,0
587,S.scheelei,standard,shade,0,0
588,M.maximus,standard,shade,0,0
589,X.texanum,none,open,0,0
590,C.fasciculata,none,open,0,0
591,S.scheelei,none,open,0,0
592,M.maximus,none,open,0,0
593,X.texanum,crude,open,0,0
594,C.fasciculata,crude,open,0,0
595,S.scheelei,crude,open,0,0
596,M.maximus,crude,open,0,0
597,X.texanum,standard,open,0,0
598,C.fasciculata,standard,open,0,0
599,S.scheelei,standard,open,0,0
600,M.maximus,standard,open,0,0
601,X.texanum,none,shade,1,0
602,C.fasciculata,none,shade,1,1
603,S.scheelei,none,shade,1,0
604,M.maximus,none,shade,1,1
605,X.texanum,crude,shade,1,0
606,C.fasciculata,crude,shade,1,0
607,S.scheelei,crude,shade,1,0
608,M.maximus,crude,shade,1,0
609,X.texanum,standard,shade,1,0
610,C.fasciculata,standard,shade,1,0
611,S.scheelei,standard,shade,1,0
612,M.maximus,standard,shade,1,0
613,X.texanum,none,open,1,0
614,C.fasciculata,none,open,1,1
615,S.scheelei,none,open,1,0
616,M.maximus,none,open,1,1
617,X.texanum,crude,open,1,0
618,C.fasciculata,crude,open,1,0
619,S.scheelei,crude,open,1,1
620,M.maximus,crude,open,1,0
621,X.texanum,standard,open,1,0
622,C.fasciculata,standard,open,1,0
623,S.scheelei,standard,open,1,0
624,M.maximus,standard,open,1,1
625,X.texanum,crude,shade,2,0
626,C.fasciculata,crude,shade,2,1
627,S.scheelei,crude,shade,2,1
628,M.maximus,crude,shade,2,1
629,X.texanum,standard,shade,2,1
630,C.fasciculata,standard,shade,2,1
631,S.scheelei,standard,shade,2,1
632,M.maximus,standard,shade,2,1
633,X.texanum,none,shade,2,0
634,C.fasciculata,none,shade,2,1
635,S.scheelei,none,shade,2,1
636,M.maximus,none,shade,2,1
637,X.texanum,crude,open,2,0
638,C.fasciculata,crude,open,2,1
639,S.scheelei,crude,open,2,1
640,M.maximus,crude,open,2,0
641,X.texanum,standard,open,2,1
642,C.fasciculata,standard,open,2,1
643,S.scheelei,standard,open,2,1
644,M.maximus,standard,open,2,1
645,X.texanum,none,open,2,0
646,C.fasciculata,none,open,2,1
647,S.scheelei,none,open,2,1
648,M.maximus,none,open,2,1
649,X.texanum,crude,shade,3,0
650,C.fasciculata,crude,shade,3,1
651,S.scheelei,crude,shade,3,1
652,M.maximus,crude,shade,3,1
653,X.texanum,standard,shade,3,1
654,C.fasciculata,standard,shade,3,1
655,S.scheelei,standard,shade,3,1
656,M.maximus,standard,shade,3,1
657,X.texanum,none,shade,3,1
658,C.fasciculata,none,shade,3,1
659,S.scheelei,none,shade,3,1
660,M.maximus,none,shade,3,1
661,X.texanum,crude,open,3,0
662,C.fasciculata,crude,open,3,1
