species,chemical,shade,tissue,AVG,AVGadj,logAVG,logAVGadj,SE,logSE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
M.maximus,standard,shade,below,1.111538462,1.111538462,0.324598997,0.324598997,0.176227731,0.070491414,1.3,0.7,0.7,5.2,1,0.9,0.6,1.1,0.6,1.1,1.2,0.7,0.7,1.3,1,1.4,0.7,1.5,1.2,1.4,1.2,0.1,1.2,0.5,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,standard,shade,above,2.061538462,3.173076923,0.48593972,0.810538716,0.342303371,0.127850681,7.7,1.4,0.9,6.3,3,2.8,1.5,1.7,2.7,0.8,0.8,1.3,1.2,0.9,0.7,4.2,0.7,3.9,1.8,1.5,1.2,2.1,1.4,0.8,1.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,standard,shade,total,3.173076923,,0.62045639,,0.465371901,0.165947859,9,2.1,1.6,11.5,4,3.7,2.1,2.8,3.3,1.9,2,2,1.9,2.2,1.7,5.6,1.4,5.4,3,2.9,2.4,2.2,2.6,1.3,2,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.maximus,standard,shade,root.shoot,0.704426355,,0.231578241,,0.079571446,0.033251389,0.168831169,0.5,0.777777778,0.825396825,0.333333333,0.321428571,0.4,0.647058824,0.222222222,1.375,1.5,0.538461539,0.583333333,1.444444444,1.428571429,0.333333333,1,0.384615385,0.666666667,0.933333333,1,0.047619048,0.857142857,0.625,0.818181818,0.583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,none,shade,below,0.513333333,0.513333333,0.179934598,0.179934598,0.112489858,0.046296061,0.5,1.5,0.5,0.2,0.4,1,0.4,0.9,0.1,0.3,0.2,0.1,1.2,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,none,shade,above,1.046666667,1.56,0.311047116,0.490981715,0.13623043,0.055466416,0.8,0.5,0.7,0.5,0.8,1.7,1.3,1.1,1,2,1.8,0.3,1.5,1.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,none,shade,total,1.56,,0.408239965,,0.186394359,0.074229073,1.3,2,1.2,0.7,1.2,2.7,1.7,2,1.1,2.3,2,0.4,2.7,1.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X.texanum,none,shade,root.shoot,0.593189305,,0.202267382,,0.18311198,0.073025852,0.625,3,0.714285714,0.4,0.5,0.588235294,0.307692308,0.818181818,0.1,0.15,0.111111111,0.333333333,0.8,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,none,shade,below,1.303030303,1.303030303,0.362299652,0.362299652,0.13466322,0.054866977,1.8,0.8,0.9,1.3,0.6,1.8,2.4,1,1.3,0.1,0.8,0.7,1.2,2.4,1,1,1.6,0.1,0.2,3.2,1.4,1.4,1.8,0.3,1.1,1.8,1.6,1.4,3.2,1.7,0.4,0.9,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,none,shade,above,6.087878788,7.390909091,0.850516282,1.212815934,0.422648521,0.153097617,8,5.4,6,7.7,3.1,14.9,5.8,6,9.2,4.8,3.8,7.7,5.9,7.8,5.3,6.4,10.5,3.4,3.8,7.9,6.1,1.4,7.4,4.4,5.7,4.5,4.5,5.4,6.9,5.6,6.2,4.4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,none,shade,total,7.390909091,,0.923809016,,0.491795636,0.173709332,9.8,6.2,6.9,9,3.7,16.7,8.2,7,10.5,4.9,4.6,8.4,7.1,10.2,6.3,7.4,12.1,3.5,4,11.1,7.5,2.8,9.2,4.7,6.8,6.3,6.1,6.8,10.1,7.3,6.6,5.3,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.fasciculata,none,shade,root.shoot,0.233060502,,0.090984386,,0.031266598,0.013370952,0.225,0.148148148,0.15,0.168831169,0.193548387,0.120805369,0.413793103,0.166666667,0.141304348,0.020833333,0.210526316,0.090909091,0.203389831,0.307692308,0.188679245,0.15625,0.152380952,0.029411765,0.052631579,0.405063291,0.229508197,1,0.243243243,0.068181818,0.192982456,0.4,0.355555556,0.259259259,0.463768116,0.303571429,0.064516129,0.204545455,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,none,shade,below,1.234883721,1.234883721,0.349254932,0.349254932,0.100380435,0.04154286,1.1,0.9,1.6,0.7,0.3,2,0.8,1,1.2,1.5,1.8,1.3,0.9,0.9,1.9,2.9,1.5,2.4,1.2,1.5,1.1,2.2,1,0.5,1.1,1.4,0.7,1,0.2,0.2,0.9,1.6,2.2,0.1,2,2.4,1.7,1.8,0.7,0.8,0.4,0.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,none,shade,above,2.104651163,3.339534884,0.49201281,0.841267742,0.130632395,0.053321425,1.5,1.9,2.3,2.7,1.7,1.8,2.5,3,0.9,3.3,2.5,2.6,1.3,1.3,3.7,3.8,3.2,3.5,1.8,1.6,2.1,0.7,3.9,2,1.9,1.9,0.9,1.1,1.3,1.1,2.7,1.9,2,1.6,2,1.8,1.1,2.8,3.1,1.1,2.2,1.3,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,none,shade,total,3.339534884,,0.637443184,,0.188075865,0.074844173,2.6,2.8,3.9,3.4,2,3.8,3.3,4,2.1,4.8,4.3,3.9,2.2,2.2,5.6,6.7,4.7,5.9,3,3.1,3.2,2.9,4.9,2.5,3,3.3,1.6,2.1,1.5,1.3,3.6,3.5,4.2,1.7,4,4.2,2.8,4.6,3.8,1.9,2.6,1.9,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.scheelei,none,shade,root.shoot,0.670997631,,0.222975834,,0.07880259,0.032941981,0.733333333,0.473684211,0.695652174,0.259259259,0.176470588,1.111111111,0.32,0.333333333,1.333333333,0.454545455,0.72,0.5,0.692307692,0.692307692,0.513513514,0.763157895,0.46875,0.685714286,0.666666667,0.9375,0.523809524,3.142857143,0.256410256,0.25,0.578947368,0.736842105,0.777777778,0.909090909,0.153846154,0.181818182,0.333333333,0.842105263,1.1,0.0625,1,1.333333333,1.545454545,0.642857143,0.225806452,0.727272727,0.181818182,0.461538462,0.35483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
